date,sars-cov-2,isPartial
2017-01-01,0,False
2017-02-01,14,False
2017-03-01,5,False
2017-04-01,0,False
2017-05-01,0,False
2017-06-01,0,False
2017-07-01,0,False
2017-08-01,13,False
2017-09-01,7,False
2017-10-01,0,False
2017-11-01,0,False
2017-12-01,0,False
2018-01-01,0,False
2018-02-01,0,False
2018-03-01,0,False
2018-04-01,0,False
2018-05-01,4,False
2018-06-01,0,False
2018-07-01,4,False
2018-08-01,0,False
2018-09-01,0,False
2018-10-01,0,False
2018-11-01,0,False
2018-12-01,0,False
2019-01-01,4,False
2019-02-01,0,False
2019-03-01,0,False
2019-04-01,0,False
2019-05-01,0,False
2019-06-01,0,False
2019-07-01,0,False
2019-08-01,0,False
2019-09-01,0,False
2019-10-01,6,False
2019-11-01,0,False
2019-12-01,14,False
2020-01-01,0,False
2020-02-01,7,False
2020-03-01,40,False
2020-04-01,69,False
2020-05-01,38,False
2020-06-01,49,False
2020-07-01,76,False
2020-08-01,55,False
2020-09-01,53,False
2020-10-01,28,False
2020-11-01,57,False
2020-12-01,88,False
2021-01-01,65,False
2021-02-01,42,False
2021-03-01,34,False
2021-04-01,34,False
2021-05-01,27,False
2021-06-01,35,False
2021-07-01,53,False
2021-08-01,84,False
2021-09-01,67,False
2021-10-01,49,False
2021-11-01,27,False
2021-12-01,78,False
2022-01-01,100,False
2022-02-01,39,False
2022-03-01,40,False
2022-04-01,25,False
2022-05-01,16,False
2022-06-01,18,False
2022-07-01,25,False
2022-08-01,18,False
2022-09-01,21,False
2022-10-01,21,False
2022-11-01,18,False
2022-12-01,27,False
2023-01-01,17,False
