date,embalming,isPartial
2017-01-01,95,False
2017-02-01,37,False
2017-03-01,22,False
2017-04-01,23,False
2017-05-01,78,False
2017-06-01,57,False
2017-07-01,55,False
2017-08-01,87,False
2017-09-01,100,False
2017-10-01,0,False
2017-11-01,46,False
2017-12-01,83,False
2018-01-01,34,False
2018-02-01,0,False
2018-03-01,47,False
2018-04-01,0,False
2018-05-01,46,False
2018-06-01,51,False
2018-07-01,44,False
2018-08-01,93,False
2018-09-01,78,False
2018-10-01,89,False
2018-11-01,77,False
2018-12-01,72,False
2019-01-01,94,False
2019-02-01,60,False
2019-03-01,65,False
2019-04-01,54,False
2019-05-01,67,False
2019-06-01,54,False
2019-07-01,53,False
2019-08-01,70,False
2019-09-01,60,False
2019-10-01,97,False
2019-11-01,48,False
2019-12-01,64,False
2020-01-01,74,False
2020-02-01,52,False
2020-03-01,51,False
2020-04-01,23,False
2020-05-01,25,False
2020-06-01,60,False
2020-07-01,56,False
2020-08-01,44,False
2020-09-01,73,False
2020-10-01,61,False
2020-11-01,30,False
2020-12-01,33,False
2021-01-01,46,False
2021-02-01,70,False
2021-03-01,87,False
2021-04-01,57,False
2021-05-01,0,False
2021-06-01,37,False
2021-07-01,33,False
2021-08-01,40,False
2021-09-01,41,False
2021-10-01,0,False
2021-11-01,25,False
2021-12-01,46,False
2022-01-01,51,False
2022-02-01,0,False
2022-03-01,68,False
2022-04-01,51,False
2022-05-01,56,False
2022-06-01,71,False
2022-07-01,38,False
2022-08-01,30,False
2022-09-01,57,False
2022-10-01,76,False
2022-11-01,36,False
2022-12-01,56,False
2023-01-01,0,True
