State,Year,Month,Period,Indicator,Data Value
UNITED STATES,2021,January,Monthly,Number of Live Births,277000
UNITED STATES,2021,February,Monthly,Number of Live Births,266000
UNITED STATES,2021,March,Monthly,Number of Live Births,302000
UNITED STATES,2021,April,Monthly,Number of Live Births,293000
UNITED STATES,2021,May,Monthly,Number of Live Births,301000
UNITED STATES,2021,June,Monthly,Number of Live Births,313000
UNITED STATES,2021,July,Monthly,Number of Live Births,326000
UNITED STATES,2021,August,Monthly,Number of Live Births,330000
UNITED STATES,2021,September,Monthly,Number of Live Births,325000
UNITED STATES,2021,October,Monthly,Number of Live Births,315000
UNITED STATES,2021,November,Monthly,Number of Live Births,301000
UNITED STATES,2021,December,Monthly,Number of Live Births,311000
UNITED STATES,2022,January,Monthly,Number of Live Births,295000
UNITED STATES,2022,February,Monthly,Number of Live Births,276000
UNITED STATES,2022,March,Monthly,Number of Live Births,307000
UNITED STATES,2022,April,Monthly,Number of Live Births,288000
UNITED STATES,2022,May,Monthly,Number of Live Births,297000
UNITED STATES,2022,June,Monthly,Number of Live Births,306000
UNITED STATES,2022,July,Monthly,Number of Live Births,321000
UNITED STATES,2022,August,Monthly,Number of Live Births,336000
UNITED STATES,2022,September,Monthly,Number of Live Births,312000
UNITED STATES,2022,October,Monthly,Number of Live Births,306000
UNITED STATES,2022,November,Monthly,Number of Live Births,307000
UNITED STATES,2022,December,Monthly,Number of Live Births,314000
UNITED STATES,2021,January,Monthly,Number of Deaths,373000
UNITED STATES,2021,February,Monthly,Number of Deaths,282000
UNITED STATES,2021,March,Monthly,Number of Deaths,270000
UNITED STATES,2021,April,Monthly,Number of Deaths,256000
UNITED STATES,2021,May,Monthly,Number of Deaths,258000
UNITED STATES,2021,June,Monthly,Number of Deaths,245000
UNITED STATES,2021,July,Monthly,Number of Deaths,257000
UNITED STATES,2021,August,Monthly,Number of Deaths,303000
UNITED STATES,2021,September,Monthly,Number of Deaths,312000
UNITED STATES,2021,October,Monthly,Number of Deaths,300000
UNITED STATES,2021,November,Monthly,Number of Deaths,288000
UNITED STATES,2021,December,Monthly,Number of Deaths,319000
UNITED STATES,2022,January,Monthly,Number of Deaths,369000
UNITED STATES,2022,February,Monthly,Number of Deaths,289000
UNITED STATES,2022,March,Monthly,Number of Deaths,268000
UNITED STATES,2022,April,Monthly,Number of Deaths,246000
UNITED STATES,2022,May,Monthly,Number of Deaths,254000
UNITED STATES,2022,June,Monthly,Number of Deaths,248000
UNITED STATES,2022,July,Monthly,Number of Deaths,260000
UNITED STATES,2022,August,Monthly,Number of Deaths,259000
UNITED STATES,2022,September,Monthly,Number of Deaths,251000
UNITED STATES,2022,October,Monthly,Number of Deaths,264000
UNITED STATES,2022,November,Monthly,Number of Deaths,267000
UNITED STATES,2022,December,Monthly,Number of Deaths,297000
UNITED STATES,2021,January,Monthly,Number of Infant Deaths,1700
UNITED STATES,2021,February,Monthly,Number of Infant Deaths,1500
UNITED STATES,2021,March,Monthly,Number of Infant Deaths,1700
UNITED STATES,2021,April,Monthly,Number of Infant Deaths,1700
UNITED STATES,2021,May,Monthly,Number of Infant Deaths,1700
UNITED STATES,2021,June,Monthly,Number of Infant Deaths,1600
UNITED STATES,2021,July,Monthly,Number of Infant Deaths,1700
UNITED STATES,2021,August,Monthly,Number of Infant Deaths,1700
UNITED STATES,2021,September,Monthly,Number of Infant Deaths,1700
UNITED STATES,2021,October,Monthly,Number of Infant Deaths,1700
UNITED STATES,2021,November,Monthly,Number of Infant Deaths,1600
UNITED STATES,2021,December,Monthly,Number of Infant Deaths,1700
UNITED STATES,2022,January,Monthly,Number of Infant Deaths,1700
UNITED STATES,2022,February,Monthly,Number of Infant Deaths,1500
UNITED STATES,2022,March,Monthly,Number of Infant Deaths,1700
UNITED STATES,2022,April,Monthly,Number of Infant Deaths,1600
UNITED STATES,2022,May,Monthly,Number of Infant Deaths,1700
UNITED STATES,2022,June,Monthly,Number of Infant Deaths,1700
UNITED STATES,2022,July,Monthly,Number of Infant Deaths,1700
UNITED STATES,2022,August,Monthly,Number of Infant Deaths,1800
UNITED STATES,2022,September,Monthly,Number of Infant Deaths,1700
UNITED STATES,2022,October,Monthly,Number of Infant Deaths,1700
UNITED STATES,2022,November,Monthly,Number of Infant Deaths,1600
UNITED STATES,2022,December,Monthly,Number of Infant Deaths,1600
UNITED STATES,2021,January,12 Month-ending,Number of Live Births,3586000
UNITED STATES,2021,February,12 Month-ending,Number of Live Births,3569000
UNITED STATES,2021,March,12 Month-ending,Number of Live Births,3569000
UNITED STATES,2021,April,12 Month-ending,Number of Live Births,3572000
UNITED STATES,2021,May,12 Month-ending,Number of Live Births,3572000
UNITED STATES,2021,June,12 Month-ending,Number of Live Births,3583000
UNITED STATES,2021,July,12 Month-ending,Number of Live Births,3587000
UNITED STATES,2021,August,12 Month-ending,Number of Live Births,3597000
UNITED STATES,2021,September,12 Month-ending,Number of Live Births,3611000
UNITED STATES,2021,October,12 Month-ending,Number of Live Births,3621000
UNITED STATES,2021,November,12 Month-ending,Number of Live Births,3640000
UNITED STATES,2021,December,12 Month-ending,Number of Live Births,3661000
UNITED STATES,2022,January,12 Month-ending,Number of Live Births,3679000
UNITED STATES,2022,February,12 Month-ending,Number of Live Births,3688000
UNITED STATES,2022,March,12 Month-ending,Number of Live Births,3693000
UNITED STATES,2022,April,12 Month-ending,Number of Live Births,3689000
UNITED STATES,2022,May,12 Month-ending,Number of Live Births,3685000
UNITED STATES,2022,June,12 Month-ending,Number of Live Births,3678000
UNITED STATES,2022,July,12 Month-ending,Number of Live Births,3672000
UNITED STATES,2022,August,12 Month-ending,Number of Live Births,3678000
UNITED STATES,2022,September,12 Month-ending,Number of Live Births,3665000
UNITED STATES,2022,October,12 Month-ending,Number of Live Births,3656000
UNITED STATES,2022,November,12 Month-ending,Number of Live Births,3661000
UNITED STATES,2022,December,12 Month-ending,Number of Live Births,3664000
UNITED STATES,2021,January,12 Month-ending,Number of Deaths,3492000
UNITED STATES,2021,February,12 Month-ending,Number of Deaths,3530000
UNITED STATES,2021,March,12 Month-ending,Number of Deaths,3531000
UNITED STATES,2021,April,12 Month-ending,Number of Deaths,3465000
UNITED STATES,2021,May,12 Month-ending,Number of Deaths,3443000
